title,weight,rank
President of Iran to visit China,0.0100316808469709,50.0
জাতীয় বিজ্ঞান অলিম্পিয়াড ২০২৩’র পুরস্কার বিতরণ,0.010027747543665401,51.0
"শিক্ষককে লাঞ্চিত করলেন ইউপি চেয়ারম্যান, প্রতিবাদে মানববন্ধন",0.010007741479753,52.0
অবসরের বয়সসীমা: ফ্রান্সে পুলিশের সঙ্গে আন্দোলনকারীদের সংঘর্ষ,0.0100063110719826,53.0
নেপাল-ভুটানসহ পাঁচ দেশে চালু হলো ভারতের ফোনপি,0.0100037501790909,54.0
"কানাডার আকাশেও রহস্যময় বস্তু, গুলিতে ভূপাতিত",0.0099972311968091,55.0
গ্লোবাল ইসলামী ব্যাংকের ছয়টি উপশাখার উদ্বোধন,0.0098847156897261,56.0
"

পদযাত্রা কর্মসূচিতে অংশ নিতে জড়ো হচ্ছেন বিএনপি নেতাকর্মীরা
",0.009844610195427301,57.0
"ভূমিকম্পে নিহত ২৮ হাজার, ধ্বংসস্তূপের নিচে বহু মানুষ",0.0095948753571136,58.0
ষষ্ঠ ও সপ্তম শ্রেণির সেই দুই বই না পড়ানোর নির্দেশ,0.0095765333612828,59.0
"এবার কানাডার আকাশে 'রহস্যময় বস্তু', গুলির নির্দেশ!",0.0095159737912483,60.0
দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,0.0090795121319431,61.0
চোখের সমস্যায় ভুগছেন ঢাকার ২৪ শতাংশ মানুষ,0.009036530493993498,62.0
গুরুত্বপূর্ণ সফরে চীন যাচ্ছেন ইরানের প্রেসিডেন্ট,0.008812659798101499,63.0
"

পূবালী ব্যাংকের বার্ষিক ব্যবস্থাপক সম্মেলন
",0.008783632390039901,64.0
ঢাকায় লেবানন ভিসা আবেদন কেন্দ্র চালু,0.0086939200579771,65.0
ভূমিকম্পের দেড়শ ঘণ্টা পর ধ্বংসস্তূপ থেকে উদ্ধার অনেকে,0.008691870164269899,66.0
ফরচুন বরিশালকে বিদায় করে কোয়ালিফায়ারে রংপুর,0.008563217842398399,67.0
হেরোইন ও ট্রাকসহ একজনকে গ্রেফতার করেছে ডিবি,0.008503946732324501,68.0
মোস্তাফিজুর রহমান ফিজারই তাহলে পরবর্তী রাষ্ট্রপতি?,0.008366288563555601,69.0
ফিডার রোড চালু হলে বদলে যাবে চট্টগ্রাম নগরী (ভিডিও),0.008362617079774301,70.0
অপহরণে অভিযুক্ত সেই অসিত পালকে বহিষ্কার করল ছাত্রলীগ,0.0083552340266148,71.0
ধর্মভিত্তিক রাজনীতির কাছে আত্মসমর্পণ করেছে সরকার: ওয়ার্কার্স পার্টি,0.0081218284435789,72.0
ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,0.0079802090286814,73.0
ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,0.0079802090286814,73.0
"

হৃদয় ছুঁয়ে যাওয়া আজারবাইজানের সেই যুবকের গল্প
",0.0079331501134653,75.0
লালমাই পাহাড় কাটা বিরত রাখার নির্দেশ হাইকোর্টের,0.0078042575318174,76.0
ছোট পর্দায় আজকের খেলা,0.0071950239828752005,77.0
"মাঠ ঠিক নেই, ধর্মশালা থেকে সরে গেল ভারত-অস্ট্রেলিয়া টেস্ট",0.0070143770807449,78.0
কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,0.0070016276113018,79.0
"

পগবার ফেরা এখনো নিশ্চিত নয়
",0.006976253715854,80.0
"ফের বিয়ে করবেন হার্দিক পান্ডিয়া, পাত্রী কে?",0.0068359534760816,81.0
জবিতে নতুন তিন বিভাগের অনুমোদন,0.0067966440670107,82.0
সুপারব্র্যান্ড অ্যাওয়ার্ড পেল ‘ফ্রেন্ডশিপ’,0.0066733702204249,83.0
আগামী নির্বাচনেও নৌকাকে বিজয়ী করতে হবে: মাশরাফি,0.0066644106208092,84.0
ছাত্রলীগের ২১ নেতাকর্মী বহিষ্কার,0.0065445863079973,85.0
"

ফ্রান্স জুড়ে বিক্ষোভ করেছে হাজার হাজার মানুষ
",0.0063809434121431,86.0
ভারতীয় দলে পক্ষপাতিত্বের অভিযোগ,0.0063480340384866,87.0
‘মলম বিতর্ক’ শাস্তি হলো ভারতীয় তারকার,0.006260723756124399,88.0
আরেকটু সময় না পাওয়ার আক্ষেপ শামীমের,0.006163403428518699,89.0
আজ মুখোমুখি হচ্ছে চিরপ্রতিদ্বন্দ্বী ভারত-পাকিস্তান,0.0061427063498532,90.0
"ভারত সফরে অস্ট্রেলিয়ার ভরাডুবি, যা বললেন ভন",0.0056733050196744,91.0
হোটেল রিল্যাক্সে পূর্ণিমা,0.0053768273907181,92.0
সহপাঠীদের ক্লাস বর্জন,0.0052095523988581,93.0
ফিট থাকতে কী খাবেন?,0.0051721940492376,94.0
"

হিরোর হিরোইজমের পূর্বাপর
",0.0032853278835312,95.0
‘সাকিবের মতো’ হতে চান লিন্ডে,0.0027265204857762,96.0
